itemId,family,scientificName,fileName,imageThumbnailUrl,description
31944,|Sphingidae|Ambulyx dohertyi,Ambulyx dohertyi,ambulyx_dohertyi_02.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31944_g2_serialNumber_2.jpeg,"<i>Ambulyx dohertyi</i> Rothschild, 1894 (Sphingidae: Sphinginae), Male - QLD, 14 km WbyN of Hope Vale Mission Lat.15'16Â” long.144'59Â”, 10. Aug. 1980, E.D. Edwards <i>leg</i>. (ANIC)."
31955,|Sphingidae|Ambulyx wildei,Ambulyx wildei,ambulyx_wildei_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31955_g2_serialNumber_2.jpeg,"<i>Ambulyx wildei</i> Miskin, 1891 (Sphingidae: Sphinginae), Female - QLD, Kuranda, 1. Mar. 1962, E.J. Harris <i>leg</i>. (ANIC)."
31959,|Sphingidae|Ambulyx wildei,Ambulyx wildei,ambulyx_wildei_02.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31959_g2_serialNumber_2.jpeg,"<i>Ambulyx wildei</i> Miskin, 1891 (Sphingidae: Sphinginae), Male - QLD, 25 miles west of Tully, 8. Mar. 1964, I.F.B. Common M.S. Upton <i>leg</i>. (ANIC)."
31974,|Sphingidae|Angonyx excellens,Angonyx excellens,angonyx_excellens_02.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31974_g2_serialNumber_2.jpeg,"<i>Angonyx excellens</i> (Rothschild, 1911) (Sphingidae: Macroglossinae), Male - QLD, Sue (Warraber Island) Lat.10'12"" Long.145'49"", 5. Dec. 1977, E.D. Edwards <i>leg</i>. (ANIC)."
31985,|Sphingidae|Angonyx papuana,Angonyx papuana,angonyx_papuana_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31985_g2_serialNumber_2.jpeg,"<i>Angonyx papuana</i> Rothschild &amp; Jordan, 1903 (Sphingidae: Macroglossinae), Male - QLD, Cairns, 1. Jan. 1925, A.H. T. <i>leg</i>. (ANIC)."
31989,|Sphingidae|Angonyx papuana,Angonyx papuana,angonyx_papuana_02.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31989_g2_serialNumber_2.jpeg,"<i>Angonyx papuana</i> Rothschild &amp; Jordan, 1903 (Sphingidae: Macroglossinae), Female - QLD, Iron Range, 8. Oct. 1989, L. Ring <i>leg</i>. (ANIC)."
32000,|Sphingidae|Cephonodes hylas,Cephonodes hylas,cephonodes_hylas_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_32000_g2_serialNumber_2.jpeg,"<i>Cephonodes hylas</i> (Linnaeus, 1771) (Sphingidae: Macroglossinae), Male - QLD, Rockhampton, 15. Dec. 1932(ANIC)."
32004,|Sphingidae|Cephonodes hylas,Cephonodes hylas,cephonodes_hylas_02.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_32004_g2_serialNumber_2.jpeg,"<i>Cephonodes hylas</i> (Linnaeus, 1771) (Sphingidae: Macroglossinae), Male - QLD, Rainbow Beach, 9. Dec. 1981, K.L. Dunn <i>leg</i>. (ANIC)."
32015,|Sphingidae|Cephonodes janus,Cephonodes janus,cephonodes_janus_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_32015_g2_serialNumber_2.jpeg,"<i>Cephonodes janus</i> (Miskin, 1891) (Sphingidae: Macroglossinae), Male - QLD, Rockhampton, 15. Dec. 1932, A.J. Turner <i>leg</i>. (ANIC)."
32019,|Sphingidae|Cephonodes janus,Cephonodes janus,cephonodes_janus_02.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_32019_g2_serialNumber_2.jpeg,"<i>Cephonodes janus</i> (Miskin, 1891) (Sphingidae: Macroglossinae), Male - QLD, Mary River, 8. Apr. 1949, Manski <i>leg</i>. (ANIC)."
32030,|Sphingidae|Cephonodes kingii,Cephonodes kingii,cephonodes_kingii_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_32030_g2_serialNumber_2.jpeg,"<i>Cephonodes kingii</i> (W.S. Macleay, 1826) (Sphingidae: Macroglossinae), Male - NSW, Como West, 26. Nov. 1964, L.S. Willan <i>leg</i>. (LWC)."
32042,|Sphingidae|Cephonodes picus,Cephonodes picus,cephonodes_picus_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_32042_g2_serialNumber_2.jpeg,"<i>Cephonodes picus</i> (Cramer, 1777) (Sphingidae: Macroglossinae), Male - Warraber (Sue Island) Lat.10'12Â”Long145'49Â”, 11. Mar. 1978, J. Walker <i>leg</i>. (ANIC)."
32054,|Sphingidae|Cizara ardeniae,Cizara ardeniae,cizara_ardeniae_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_32054_g2_serialNumber_2.jpeg,"<i>Cizara ardeniae</i> (Lewin, 1805) (Sphingidae: Macroglossinae), Male - NSW, Como West, 16. Apr. 2002, L.S. Willan <i>leg</i>. (LWC)."
32066,|Sphingidae|Coenotes eremophilae,Coenotes eremophilae,coenotes_eremophilae_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_32066_g2_serialNumber_2.jpeg,"<i>Coenotes eremophilae</i> (T.P. Lucas, 1891) (Sphingidae: Sphinginae), Male - QLD, 12 km SW of Charleville Lat.26'27''Long.146'08"", 17. Mar. 1990, E.D. Edwards J.H. Fisk <i>leg</i>. (ANIC)."
32070,|Sphingidae|Coenotes eremophilae,Coenotes eremophilae,coenotes_eremophilae_02.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_32070_g2_serialNumber_2.jpeg,"<i>Coenotes eremophilae</i> (T.P. Lucas, 1891) (Sphingidae: Sphinginae), Female - QLD, Angellala Creek Lat.26'29'' Long.146'11'', 19. Mar. 1990, E.D. Edwards J.H. Fisk <i>leg</i>. (ANIC)."
32081,|Sphingidae|Coequosa australasiae,Coequosa australasiae,coequosa_australasiae_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_32081_g2_serialNumber_2.jpeg,"<i>Coequosa australasiae</i> (Donovan, 1805) (Sphingidae: Sphinginae), Male - NSW, Como West, 19. Apr. 1969, Gail Willan <i>leg</i>. (LWC)."
32085,|Sphingidae|Coequosa australasiae,Coequosa australasiae,coequosa_australasiae_02.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_32085_g2_serialNumber_2.jpeg,"<i>Coequosa australasiae</i> (Donovan, 1805) (Sphingidae: Sphinginae), Female - NSW, Caparra, 7. Mar. 1992, J. Stockard <i>leg</i>. (ANIC)."
32088,|Sphingidae|Coequosa australasiae,Coequosa australasiae,coequosa_australasiae_03.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_32088_g2_serialNumber_2.jpeg,"<i>Coequosa australasiae</i> (Donovan, 1805) (Sphingidae: Sphinginae), Male - NSW, Como West, 21. Feb. 1969, V.J. Robinson L.S. Willan <i>leg</i>. (ANIC)."
